id,305
photo,176297.jpg
web_name,Rashford
team_code,1
status,a
code,176297
first_name,Marcus
second_name,Rashford
squad_number,10
news,
now_cost,77
news_added,2019-02-24T18:31:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.3
value_season,14.0
cost_change_start,7
cost_change_event,0
cost_change_start_fall,-7
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,3
selected_by_percent,31.9
form,2.4
transfers_out,1756008
transfers_in,2988557
transfers_out_event,13290
transfers_in_event,4059
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,108
event_points,2
points_per_game,4.3
ep_this,3.4
ep_next,2.4
special,False
minutes,1706
goals_scored,9
assists,7
clean_sheets,6
goals_conceded,22
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,1
saves,0
bonus,13
bps,356
influence,543.6
creativity,360.8
threat,803.0
ict_index,169.9
ea_index,0
element_type,4
team,14
