id,343
photo,83283.jpg
web_name,Redmond
team_code,20
status,a
code,83283
first_name,Nathan
second_name,Redmond
squad_number,22
news,
now_cost,53
news_added,2018-12-22T14:01:17Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.8
value_season,17.5
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,2.4
form,4.4
transfers_out,146304
transfers_in,258364
transfers_out_event,1184
transfers_in_event,799
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,93
event_points,2
points_per_game,3.2
ep_this,3.4
ep_next,2.9
special,False
minutes,2509
goals_scored,3
assists,3
clean_sheets,8
goals_conceded,43
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,6
bps,298
influence,428.6
creativity,609.0
threat,567.0
ict_index,160.1
ea_index,0
element_type,3
team,16
