id,406
photo,204480.jpg
web_name,Rice
team_code,21
status,a
code,204480
first_name,Declan
second_name,Rice
squad_number,41
news,
now_cost,45
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,1.0
value_season,17.6
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,2.7
form,4.6
transfers_out,75322
transfers_in,217182
transfers_out_event,331
transfers_in_event,9174
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,79
event_points,15
points_per_game,3.0
ep_this,4.6
ep_next,5.1
special,False
minutes,2295
goals_scored,2
assists,0
clean_sheets,5
goals_conceded,33
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,8
bps,455
influence,481.6
creativity,136.9
threat,191.0
ict_index,80.8
ea_index,0
element_type,2
team,19
