id,473
photo,171129.jpg
web_name,Rico
team_code,91
status,a
code,171129
first_name,Diego
second_name,Rico
squad_number,21
news,
now_cost,41
news_added,2018-09-28T10:01:14Z
chance_of_playing_this_round,75
chance_of_playing_next_round,75
value_form,0.1
value_season,1.5
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.4
transfers_out,7778
transfers_in,7293
transfers_out_event,5
transfers_in_event,11
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,6
event_points,1
points_per_game,0.6
ep_this,-0.4
ep_next,0.7
special,False
minutes,527
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,17
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,80
influence,100.0
creativity,166.0
threat,27.0
ict_index,29.2
ea_index,0
element_type,2
team,2
