id,370
photo,95715.jpg
web_name,Lucas Moura
team_code,6
status,a
code,95715
first_name,Lucas
second_name,Rodrigues Moura da Silva
squad_number,27
news,
now_cost,68
news_added,2019-01-07T16:01:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,12.9
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,5.4
form,0.6
transfers_out,1867499
transfers_in,1942946
transfers_out_event,781
transfers_in_event,72
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,88
event_points,0
points_per_game,3.8
ep_this,1.1
ep_next,2.1
special,False
minutes,1451
goals_scored,6
assists,2
clean_sheets,10
goals_conceded,13
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,5
bps,222
influence,354.6
creativity,289.1
threat,419.0
ict_index,105.9
ea_index,0
element_type,3
team,17
