id,304
photo,101582.jpg
web_name,Fred
team_code,1
status,a
code,101582
first_name,Frederico
second_name,Rodrigues de Paula Santos
squad_number,17
news,
now_cost,54
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.2
value_season,5.2
cost_change_start,-6
cost_change_event,0
cost_change_start_fall,6
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.2
form,1.2
transfers_out,256272
transfers_in,53873
transfers_out_event,49
transfers_in_event,33
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,28
event_points,4
points_per_game,2.3
ep_this,2.2
ep_next,1.2
special,False
minutes,660
goals_scored,1
assists,1
clean_sheets,1
goals_conceded,11
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,3
bps,118
influence,130.6
creativity,152.9
threat,66.0
ict_index,35.0
ea_index,0
element_type,3
team,14
