id,287
photo,58893.jpg
web_name,Rojo
team_code,1
status,a
code,58893
first_name,Marcos
second_name,Rojo
squad_number,16
news,
now_cost,49
news_added,2018-12-13T10:01:17Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,-0.2
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.0
transfers_out,6493
transfers_in,2840
transfers_out_event,10
transfers_in_event,9
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,-1
event_points,0
points_per_game,-0.5
ep_this,1.0
ep_next,0.0
special,False
minutes,103
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,3
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,1
influence,14.2
creativity,1.5
threat,24.0
ict_index,4.0
ea_index,0
element_type,2
team,14
