id,339
photo,78056.jpg
web_name,Oriol Romeu
team_code,20
status,a
code,78056
first_name,Oriol
second_name,Romeu Vidal
squad_number,14
news,
now_cost,42
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.9
value_season,10.5
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.9
form,3.6
transfers_out,169858
transfers_in,127343
transfers_out_event,420
transfers_in_event,2010
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,44
event_points,2
points_per_game,2.0
ep_this,2.6
ep_next,2.1
special,False
minutes,1579
goals_scored,1
assists,0
clean_sheets,4
goals_conceded,28
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,6
red_cards,0
saves,0
bonus,3
bps,216
influence,371.0
creativity,102.5
threat,94.0
ict_index,56.9
ea_index,0
element_type,3
team,16
