id,493
photo,57134.jpg
web_name,Rondón
team_code,4
status,a
code,57134
first_name,Salomón
second_name,Rondón
squad_number,9
news,
now_cost,59
news_added,2018-09-23T00:01:15Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.7
value_season,16.3
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,8.1
form,4.0
transfers_out,423578
transfers_in,824690
transfers_out_event,3752
transfers_in_event,2229
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,96
event_points,2
points_per_game,4.2
ep_this,4.0
ep_next,4.0
special,False
minutes,1791
goals_scored,7
assists,4
clean_sheets,7
goals_conceded,19
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,14
bps,295
influence,420.8
creativity,318.6
threat,865.0
ict_index,160.1
ea_index,0
element_type,4
team,15
