id,354
photo,38290.jpg
web_name,Rose
team_code,6
status,a
code,38290
first_name,Danny
second_name,Rose
squad_number,3
news,
now_cost,58
news_added,2019-02-21T15:01:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.3
value_season,11.4
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.0
form,1.8
transfers_out,96988
transfers_in,66135
transfers_out_event,126
transfers_in_event,96
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,66
event_points,1
points_per_game,3.7
ep_this,2.3
ep_next,3.3
special,False
minutes,1271
goals_scored,0
assists,4
clean_sheets,6
goals_conceded,10
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,5
bps,253
influence,254.8
creativity,280.9
threat,189.0
ict_index,72.5
ea_index,0
element_type,2
team,17
