id,421
photo,19236.jpg
web_name,Ruddy
team_code,39
status,a
code,19236
first_name,John
second_name,Ruddy
squad_number,21
news,
now_cost,42
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.3
value_season,1.7
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,1.4
transfers_out,16057
transfers_in,3152
transfers_out_event,38
transfers_in_event,84
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,7
event_points,7
points_per_game,7.0
ep_this,1.9
ep_next,0.9
special,False
minutes,90
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,0
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,3
bonus,0
bps,25
influence,26.6
creativity,0.0
threat,0.0
ict_index,2.7
ea_index,0
element_type,1
team,20
