id,47
photo,131897.jpg
web_name,Ryan
team_code,36
status,a
code,131897
first_name,Mathew
second_name,Ryan
squad_number,1
news,
now_cost,44
news_added,2018-12-26T22:31:37Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.9
value_season,18.2
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,3.1
form,4.0
transfers_out,371376
transfers_in,271457
transfers_out_event,334
transfers_in_event,667
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,80
event_points,9
points_per_game,3.3
ep_this,4.0
ep_next,4.0
special,False
minutes,2160
goals_scored,0
assists,0
clean_sheets,5
goals_conceded,36
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,70
bonus,9
bps,396
influence,501.4
creativity,0.0
threat,0.0
ict_index,50.2
ea_index,0
element_type,1
team,3
