id,118
photo,102380.jpg
web_name,Rüdiger
team_code,8
status,a
code,102380
first_name,Antonio
second_name,Rüdiger
squad_number,2
news,
now_cost,59
news_added,2018-10-20T11:31:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,16.6
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,3.4
form,1.3
transfers_out,364440
transfers_in,359360
transfers_out_event,257
transfers_in_event,238
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,98
event_points,0
points_per_game,3.8
ep_this,2.3
ep_next,1.8
special,False
minutes,2318
goals_scored,1
assists,1
clean_sheets,11
goals_conceded,29
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,7
bps,515
influence,478.4
creativity,135.1
threat,236.0
ict_index,85.1
ea_index,0
element_type,2
team,6
