id,205
photo,246878.jpg
web_name,Sabiri
team_code,38
status,d
code,246878
first_name,Abdelhamid
second_name,Sabiri
squad_number,29
news,Lack of match fitness - 75% chance of playing
now_cost,43
news_added,2018-12-04T22:01:16Z
chance_of_playing_this_round,75
chance_of_playing_next_round,75
value_form,0.0
value_season,0.5
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.0
transfers_out,6160
transfers_in,4190
transfers_out_event,4
transfers_in_event,5
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,2
event_points,0
points_per_game,1.0
ep_this,0.0
ep_next,-0.4
special,False
minutes,48
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,3
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,6
influence,4.2
creativity,0.5
threat,2.0
ict_index,0.7
ea_index,0
element_type,3
team,10
