id,253
photo,118748.jpg
web_name,Salah
team_code,14
status,a
code,118748
first_name,Mohamed
second_name,Salah
squad_number,11
news,
now_cost,135
news_added,2018-10-20T15:31:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,14.4
cost_change_start,5
cost_change_event,0
cost_change_start_fall,-5
cost_change_event_fall,0
in_dreamteam,True
dreamteam_count,5
selected_by_percent,46.7
form,3.2
transfers_out,2564971
transfers_in,2304009
transfers_out_event,5642
transfers_in_event,1451
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,195
event_points,0
points_per_game,7.0
ep_this,4.2
ep_next,4.2
special,False
minutes,2373
goals_scored,17
assists,8
clean_sheets,16
goals_conceded,13
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,15
bps,541
influence,921.0
creativity,750.5
threat,1533.0
ict_index,320.7
ea_index,0
element_type,3
team,12
