id,50
photo,11352.jpg
web_name,Bruno
team_code,36
status,a
code,11352
first_name,Bruno
second_name,Saltor Grau
squad_number,2
news,
now_cost,44
news_added,2018-12-01T17:31:14Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,7.0
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.3
form,0.0
transfers_out,52201
transfers_in,50240
transfers_out_event,36
transfers_in_event,2
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,31
event_points,0
points_per_game,3.9
ep_this,0.0
ep_next,0.0
special,False
minutes,619
goals_scored,0
assists,1
clean_sheets,3
goals_conceded,6
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,4
bps,132
influence,104.4
creativity,65.3
threat,14.0
ict_index,18.4
ea_index,0
element_type,2
team,3
