id,275
photo,182156.jpg
web_name,Sané
team_code,43
status,a
code,182156
first_name,Leroy
second_name,Sané
squad_number,19
news,
now_cost,94
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.0
value_season,13.9
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,3
selected_by_percent,9.1
form,0.4
transfers_out,2415463
transfers_in,2181404
transfers_out_event,8306
transfers_in_event,1180
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,131
event_points,0
points_per_game,5.5
ep_this,1.4
ep_next,1.4
special,False
minutes,1495
goals_scored,8
assists,11
clean_sheets,7
goals_conceded,12
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,13
bps,439
influence,586.6
creativity,550.9
threat,828.0
ict_index,196.7
ea_index,0
element_type,3
team,13
