id,426
photo,107613.jpg
web_name,Saïss
team_code,39
status,a
code,107613
first_name,Romain
second_name,Saïss
squad_number,27
news,
now_cost,42
news_added,2019-01-03T00:01:17Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,10.5
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.4
form,1.8
transfers_out,28593
transfers_in,39257
transfers_out_event,156
transfers_in_event,182
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,44
event_points,7
points_per_game,2.9
ep_this,2.3
ep_next,1.3
special,False
minutes,866
goals_scored,2
assists,0
clean_sheets,3
goals_conceded,11
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,5
bps,206
influence,276.4
creativity,65.5
threat,126.0
ict_index,46.6
ea_index,0
element_type,2
team,20
