id,192
photo,85368.jpg
web_name,Schindler
team_code,38
status,a
code,85368
first_name,Christopher
second_name,Schindler
squad_number,26
news,
now_cost,42
news_added,2018-10-06T14:01:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,16.4
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,2.4
form,1.8
transfers_out,222084
transfers_in,192798
transfers_out_event,252
transfers_in_event,661
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,69
event_points,2
points_per_game,2.4
ep_this,1.8
ep_next,1.3
special,False
minutes,2540
goals_scored,1
assists,1
clean_sheets,5
goals_conceded,51
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,1
saves,0
bonus,7
bps,409
influence,512.0
creativity,34.0
threat,143.0
ict_index,69.1
ea_index,0
element_type,2
team,10
