id,141
photo,86417.jpg
web_name,Schlupp
team_code,31
status,a
code,86417
first_name,Jeffrey
second_name,Schlupp
squad_number,15
news,
now_cost,44
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,1.4
value_season,17.3
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,3.2
form,6.2
transfers_out,278178
transfers_in,372014
transfers_out_event,343
transfers_in_event,6116
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,76
event_points,5
points_per_game,3.0
ep_this,5.7
ep_next,6.2
special,False
minutes,1279
goals_scored,4
assists,3
clean_sheets,2
goals_conceded,21
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,3
bps,240
influence,349.6
creativity,191.7
threat,370.0
ict_index,91.3
ea_index,0
element_type,2
team,7
