id,213
photo,17745.jpg
web_name,Schmeichel
team_code,13
status,a
code,17745
first_name,Kasper
second_name,Schmeichel
squad_number,1
news,
now_cost,50
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.2
value_season,17.2
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,4.8
form,1.0
transfers_out,254868
transfers_in,207350
transfers_out_event,294
transfers_in_event,667
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,86
event_points,0
points_per_game,3.1
ep_this,1.0
ep_next,1.5
special,False
minutes,2520
goals_scored,0
assists,0
clean_sheets,7
goals_conceded,39
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,65
bonus,6
bps,445
influence,527.8
creativity,0.0
threat,4.0
ict_index,53.0
ea_index,0
element_type,1
team,11
