id,167
photo,42774.jpg
web_name,Schneiderlin
team_code,11
status,a
code,42774
first_name,Morgan
second_name,Schneiderlin
squad_number,18
news,
now_cost,42
news_added,2018-12-04T15:01:17Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,3.3
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,2.0
form,0.6
transfers_out,227785
transfers_in,196994
transfers_out_event,244
transfers_in_event,122
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,14
event_points,0
points_per_game,1.8
ep_this,-0.4
ep_next,0.6
special,False
minutes,375
goals_scored,0
assists,1
clean_sheets,1
goals_conceded,7
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,80
influence,73.4
creativity,85.5
threat,10.0
ict_index,16.9
ea_index,0
element_type,3
team,8
