id,446
photo,157775.jpg
web_name,Sema
team_code,57
status,a
code,157775
first_name,Ken
second_name,Sema
squad_number,12
news,
now_cost,46
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.2
value_season,7.4
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.1
form,1.0
transfers_out,18534
transfers_in,20386
transfers_out_event,40
transfers_in_event,1
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,34
event_points,0
points_per_game,2.3
ep_this,1.0
ep_next,0.0
special,False
minutes,653
goals_scored,1
assists,2
clean_sheets,3
goals_conceded,8
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,1
bps,87
influence,116.4
creativity,80.2
threat,140.0
ict_index,33.4
ea_index,0
element_type,3
team,18
