id,456
photo,170271.jpg
web_name,Seri
team_code,54
status,a
code,170271
first_name,Jean Michael
second_name,Seri
squad_number,24
news,
now_cost,49
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.2
value_season,13.1
cost_change_start,-6
cost_change_event,0
cost_change_start_fall,6
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,1.4
form,1.0
transfers_out,300088
transfers_in,248820
transfers_out_event,101
transfers_in_event,18
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,64
event_points,0
points_per_game,2.4
ep_this,0.0
ep_next,0.5
special,False
minutes,2049
goals_scored,1
assists,3
clean_sheets,2
goals_conceded,50
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,6
red_cards,0
saves,0
bonus,6
bps,388
influence,436.6
creativity,788.2
threat,139.0
ict_index,136.6
ea_index,0
element_type,3
team,9
