id,184
photo,184349.jpg
web_name,Sessegnon
team_code,54
status,a
code,184349
first_name,Ryan
second_name,Sessegnon
squad_number,3
news,
now_cost,60
news_added,2018-12-15T19:31:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,11.7
cost_change_start,-5
cost_change_event,0
cost_change_start_fall,5
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.9
form,1.2
transfers_out,449481
transfers_in,59751
transfers_out_event,80
transfers_in_event,14
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,70
event_points,0
points_per_game,2.8
ep_this,0.2
ep_next,0.7
special,False
minutes,1526
goals_scored,2
assists,6
clean_sheets,0
goals_conceded,46
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,3
bps,227
influence,335.2
creativity,352.3
threat,296.0
ict_index,98.6
ea_index,0
element_type,3
team,9
