id,318
photo,50232.jpg
web_name,Shelvey
team_code,4
status,a
code,50232
first_name,Jonjo
second_name,Shelvey
squad_number,8
news,
now_cost,53
news_added,2019-01-11T15:01:19Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,4.5
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.3
form,0.0
transfers_out,57266
transfers_in,14412
transfers_out_event,8
transfers_in_event,7
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,24
event_points,0
points_per_game,2.2
ep_this,0.0
ep_next,0.0
special,False
minutes,748
goals_scored,0
assists,1
clean_sheets,3
goals_conceded,12
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,116
influence,162.4
creativity,286.5
threat,118.0
ict_index,56.7
ea_index,0
element_type,3
team,15
