id,172
photo,55422.jpg
web_name,Sigurdsson
team_code,11
status,a
code,55422
first_name,Gylfi
second_name,Sigurdsson
squad_number,10
news,
now_cost,72
news_added,2018-11-11T17:31:14Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.6
value_season,18.8
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,5.9
form,4.2
transfers_out,1019818
transfers_in,1217573
transfers_out_event,929
transfers_in_event,5614
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,135
event_points,0
points_per_game,4.8
ep_this,3.2
ep_next,4.2
special,False
minutes,2255
goals_scored,11
assists,3
clean_sheets,8
goals_conceded,34
own_goals,0
penalties_saved,0
penalties_missed,2
yellow_cards,3
red_cards,0
saves,0
bonus,17
bps,498
influence,716.2
creativity,741.7
threat,761.0
ict_index,221.8
ea_index,0
element_type,3
team,8
