id,431
photo,216054.jpg
web_name,Vinagre
team_code,39
status,a
code,216054
first_name,Rúben Gonçalo
second_name,Silva Nascimento Vinagre
squad_number,29
news,
now_cost,43
news_added,2019-02-04T14:31:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.3
value_season,4.4
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,1.2
transfers_out,12074
transfers_in,8282
transfers_out_event,6
transfers_in_event,21
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,19
event_points,6
points_per_game,1.5
ep_this,1.7
ep_next,0.7
special,False
minutes,598
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,8
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,103
influence,107.6
creativity,95.9
threat,57.0
ict_index,26.1
ea_index,0
element_type,2
team,20
