id,271
photo,20664.jpg
web_name,David Silva
team_code,43
status,a
code,20664
first_name,David
second_name,Silva
squad_number,21
news,
now_cost,85
news_added,2018-12-26T14:01:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,13.3
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,4.2
form,3.8
transfers_out,1215759
transfers_in,1144021
transfers_out_event,495
transfers_in_event,2545
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,113
event_points,7
points_per_game,4.5
ep_this,4.8
ep_next,4.8
special,False
minutes,1803
goals_scored,6
assists,5
clean_sheets,11
goals_conceded,12
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,12
bps,485
influence,580.0
creativity,887.9
threat,911.0
ict_index,238.0
ea_index,0
element_type,3
team,13
