id,217
photo,40725.jpg
web_name,Simpson
team_code,13
status,a
code,40725
first_name,Danny
second_name,Simpson
squad_number,2
news,
now_cost,42
news_added,2018-07-23T19:01:08Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,2.6
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,0.0
transfers_out,18826
transfers_in,7178
transfers_out_event,15
transfers_in_event,15
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,11
event_points,0
points_per_game,2.2
ep_this,0.0
ep_next,0.5
special,False
minutes,275
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,4
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,47
influence,73.4
creativity,12.5
threat,2.0
ict_index,8.8
ea_index,0
element_type,2
team,11
