id,32
photo,222434.jpg
web_name,Simpson
team_code,91
status,a
code,222434
first_name,Jack
second_name,Simpson
squad_number,25
news,
now_cost,38
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.1
value_season,0.5
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,6.0
form,0.4
transfers_out,249378
transfers_in,251769
transfers_out_event,644
transfers_in_event,1481
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,2
event_points,2
points_per_game,2.0
ep_this,-0.6
ep_next,0.9
special,False
minutes,82
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,1
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,13
influence,21.8
creativity,0.0
threat,0.0
ict_index,2.2
ea_index,0
element_type,2
team,2
