id,369
photo,45268.jpg
web_name,Sissoko
team_code,6
status,a
code,45268
first_name,Moussa
second_name,Sissoko
squad_number,17
news,
now_cost,49
news_added,2019-01-25T13:31:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.6
value_season,12.2
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.3
form,3.0
transfers_out,34281
transfers_in,41258
transfers_out_event,113
transfers_in_event,306
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,60
event_points,2
points_per_game,2.6
ep_this,3.5
ep_next,4.5
special,False
minutes,1815
goals_scored,0
assists,2
clean_sheets,8
goals_conceded,22
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,3
bps,312
influence,264.6
creativity,307.0
threat,157.0
ict_index,72.8
ea_index,0
element_type,3
team,17
