id,194
photo,104545.jpg
web_name,Smith
team_code,38
status,s
code,104545
first_name,Tommy
second_name,Smith
squad_number,2
news,Suspended until 16 Mar
now_cost,44
news_added,2019-02-23T18:01:19Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,-0.1
value_season,0.9
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,-0.4
transfers_out,4667
transfers_in,1083
transfers_out_event,3
transfers_in_event,3
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,4
event_points,0
points_per_game,0.5
ep_this,0.0
ep_next,0.0
special,False
minutes,556
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,19
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,1
saves,0
bonus,0
bps,75
influence,83.0
creativity,45.8
threat,14.0
ict_index,14.3
ea_index,0
element_type,2
team,10
