id,332
photo,58822.jpg
web_name,Cédric
team_code,20
status,u
code,58822
first_name,Cédric
second_name,Soares
squad_number,2
news,Season-long loan to Inter Milan
now_cost,42
news_added,2019-01-26T19:01:20Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,12.4
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,2.3
form,0.0
transfers_out,512017
transfers_in,225528
transfers_out_event,337
transfers_in_event,1
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,52
event_points,0
points_per_game,2.9
ep_this,0.0
ep_next,0.0
special,False
minutes,1493
goals_scored,1
assists,2
clean_sheets,4
goals_conceded,31
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,7
bps,273
influence,309.0
creativity,226.5
threat,103.0
ict_index,63.9
ea_index,0
element_type,2
team,16
