id,259
photo,154566.jpg
web_name,Solanke
team_code,91
status,i
code,154566
first_name,Dominic
second_name,Solanke
squad_number,29
news,Thigh injury - Expected back 09 Mar
now_cost,47
news_added,2019-02-27T22:01:21Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.2
value_season,1.1
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.5
form,1.0
transfers_out,30566
transfers_in,31834
transfers_out_event,360
transfers_in_event,45
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,5
event_points,0
points_per_game,1.7
ep_this,0.0
ep_next,0.0
special,False
minutes,182
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,3
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,13
influence,32.8
creativity,25.8
threat,95.0
ict_index,15.4
ea_index,0
element_type,4
team,2
