id,36
photo,56872.jpg
web_name,Stanislas
team_code,91
status,i
code,56872
first_name,Junior
second_name,Stanislas
squad_number,19
news,Thigh injury - Unknown return date
now_cost,60
news_added,2019-02-09T17:01:20Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.1
value_season,7.8
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.4
transfers_out,12609
transfers_in,11367
transfers_out_event,27
transfers_in_event,3
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,47
event_points,0
points_per_game,2.5
ep_this,0.0
ep_next,0.0
special,False
minutes,957
goals_scored,1
assists,3
clean_sheets,2
goals_conceded,23
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,3
bps,176
influence,187.8
creativity,250.6
threat,312.0
ict_index,75.1
ea_index,0
element_type,3
team,2
