id,522
photo,192301.jpg
web_name,Stankovic
team_code,38
status,a
code,192301
first_name,Jon Gorenc
second_name,Stankovic
squad_number,27
news,
now_cost,39
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.7
value_season,5.1
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,2.8
form,2.8
transfers_out,267622
transfers_in,384531
transfers_out_event,182
transfers_in_event,909
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,20
event_points,7
points_per_game,5.0
ep_this,2.8
ep_next,2.3
special,False
minutes,238
goals_scored,1
assists,0
clean_sheets,2
goals_conceded,6
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,2
bps,79
influence,84.4
creativity,13.7
threat,52.0
ict_index,15.0
ea_index,0
element_type,2
team,10
