id,56
photo,40845.jpg
web_name,Stephens
team_code,36
status,a
code,40845
first_name,Dale
second_name,Stephens
squad_number,6
news,
now_cost,44
news_added,2019-02-02T17:01:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,9.8
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,3.0
form,1.8
transfers_out,464905
transfers_in,79817
transfers_out_event,108
transfers_in_event,62
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,43
event_points,3
points_per_game,2.0
ep_this,1.8
ep_next,1.8
special,False
minutes,1674
goals_scored,1
assists,0
clean_sheets,4
goals_conceded,31
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,1
saves,0
bonus,2
bps,255
influence,298.0
creativity,157.4
threat,46.0
ict_index,50.0
ea_index,0
element_type,3
team,3
