id,262
photo,97299.jpg
web_name,Stones
team_code,43
status,d
code,97299
first_name,John
second_name,Stones
squad_number,5
news,Knock - 75% chance of playing
now_cost,52
news_added,2019-03-02T17:31:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,75
value_form,0.5
value_season,12.7
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,5.0
form,2.6
transfers_out,679399
transfers_in,405577
transfers_out_event,592
transfers_in_event,661
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,66
event_points,1
points_per_game,3.5
ep_this,3.6
ep_next,2.7
special,False
minutes,1570
goals_scored,0
assists,0
clean_sheets,7
goals_conceded,15
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,7
bps,368
influence,337.2
creativity,110.0
threat,47.0
ict_index,49.4
ea_index,0
element_type,2
team,13
