id,524
photo,173514.jpg
web_name,Success
team_code,57
status,a
code,173514
first_name,Isaac
second_name,Success Ajayi
squad_number,10
news,
now_cost,46
news_added,2019-02-02T17:01:22Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,7.0
cost_change_start,1
cost_change_event,0
cost_change_start_fall,-1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,2.6
form,0.0
transfers_out,435633
transfers_in,537200
transfers_out_event,594
transfers_in_event,463
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,32
event_points,0
points_per_game,1.4
ep_this,0.0
ep_next,-1.0
special,False
minutes,882
goals_scored,1
assists,0
clean_sheets,2
goals_conceded,17
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,0
bps,91
influence,114.0
creativity,247.1
threat,306.0
ict_index,66.5
ea_index,0
element_type,4
team,18
