id,35
photo,15237.jpg
web_name,Surman
team_code,91
status,a
code,15237
first_name,Andrew
second_name,Surman
squad_number,6
news,
now_cost,46
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.3
value_season,7.2
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,1.6
transfers_out,24224
transfers_in,10211
transfers_out_event,17
transfers_in_event,36
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,33
event_points,2
points_per_game,1.9
ep_this,0.6
ep_next,2.1
special,False
minutes,1348
goals_scored,0
assists,0
clean_sheets,3
goals_conceded,37
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,0
bps,191
influence,169.4
creativity,160.0
threat,38.0
ict_index,36.8
ea_index,0
element_type,3
team,2
