id,586
photo,89572.jpg
web_name,Suárez
team_code,3
status,a
code,89572
first_name,Denis
second_name,Suárez
squad_number,22
news,
now_cost,61
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.1
value_season,0.5
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.6
transfers_out,19137
transfers_in,26746
transfers_out_event,326
transfers_in_event,17
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,3
event_points,0
points_per_game,1.0
ep_this,0.1
ep_next,0.6
special,False
minutes,57
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,1
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,8
influence,7.0
creativity,4.5
threat,0.0
ict_index,1.2
ea_index,0
element_type,3
team,1
