id,515
photo,218031.jpg
web_name,Söyüncü
team_code,13
status,a
code,218031
first_name,Çaglar
second_name,Söyüncü
squad_number,4
news,
now_cost,49
news_added,2018-08-17T10:31:12Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,1.4
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.0
transfers_out,3995
transfers_in,1002
transfers_out_event,1
transfers_in_event,2
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,7
event_points,0
points_per_game,1.4
ep_this,0.0
ep_next,0.5
special,False
minutes,281
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,3
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,37
influence,59.2
creativity,2.2
threat,22.0
ict_index,8.4
ea_index,0
element_type,2
team,11
