id,153
photo,143877.jpg
web_name,Sørloth
team_code,31
status,u
code,143877
first_name,Alexander
second_name,Sørloth
squad_number,9
news,Season-long loan to KAA Gent
now_cost,48
news_added,2019-01-08T23:01:17Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,2.5
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.0
transfers_out,22679
transfers_in,12147
transfers_out_event,11
transfers_in_event,0
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,12
event_points,0
points_per_game,1.0
ep_this,0.0
ep_next,0.0
special,False
minutes,173
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,3
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,32
influence,19.2
creativity,38.3
threat,59.0
ict_index,11.3
ea_index,0
element_type,4
team,7
