id,72
photo,17761.jpg
web_name,Tarkowski
team_code,90
status,a
code,17761
first_name,James
second_name,Tarkowski
squad_number,5
news,
now_cost,47
news_added,2018-12-01T15:01:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.3
value_season,15.7
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,4.4
form,1.6
transfers_out,587469
transfers_in,328640
transfers_out_event,860
transfers_in_event,150
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,74
event_points,1
points_per_game,2.8
ep_this,2.1
ep_next,0.6
special,False
minutes,2276
goals_scored,3
assists,1
clean_sheets,5
goals_conceded,48
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,4
bps,387
influence,768.6
creativity,46.2
threat,369.0
ict_index,118.6
ea_index,0
element_type,2
team,4
