id,508
photo,120250.jpg
web_name,André Gomes
team_code,11
status,a
code,120250
first_name,André Filipe
second_name,Tavares Gomes
squad_number,8
news,
now_cost,54
news_added,2018-12-26T14:01:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.6
value_season,8.9
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.2
form,3.0
transfers_out,33795
transfers_in,22995
transfers_out_event,58
transfers_in_event,33
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,48
event_points,0
points_per_game,2.4
ep_this,2.0
ep_next,3.0
special,False
minutes,1511
goals_scored,1
assists,1
clean_sheets,6
goals_conceded,22
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,2
bps,219
influence,210.4
creativity,107.0
threat,142.0
ict_index,45.9
ea_index,0
element_type,3
team,8
