id,255
photo,116643.jpg
web_name,Fabinho
team_code,14
status,a
code,116643
first_name,Fabio Henrique
second_name,Tavares
squad_number,3
news,
now_cost,55
news_added,2019-01-19T17:31:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,8.9
cost_change_start,-5
cost_change_event,0
cost_change_start_fall,5
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.6
form,2.2
transfers_out,71210
transfers_in,44488
transfers_out_event,84
transfers_in_event,145
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,49
event_points,0
points_per_game,2.6
ep_this,3.2
ep_next,3.2
special,False
minutes,1365
goals_scored,1
assists,2
clean_sheets,8
goals_conceded,8
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,0
bps,219
influence,320.0
creativity,209.5
threat,150.0
ict_index,68.1
ea_index,0
element_type,3
team,12
