id,591
photo,166989.jpg
web_name,Tielemans
team_code,13
status,a
code,166989
first_name,Youri
second_name,Tielemans
squad_number,21
news,
now_cost,60
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.3
value_season,1.3
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,1.6
transfers_out,2554
transfers_in,12590
transfers_out_event,45
transfers_in_event,138
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,8
event_points,0
points_per_game,2.7
ep_this,1.6
ep_next,2.1
special,False
minutes,231
goals_scored,0
assists,1
clean_sheets,0
goals_conceded,6
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,46
influence,46.8
creativity,69.7
threat,62.0
ict_index,17.9
ea_index,0
element_type,3
team,11
