id,450
photo,198849.jpg
web_name,Torreira
team_code,3
status,s
code,198849
first_name,Lucas
second_name,Torreira
squad_number,11
news,Suspended until 15 Apr
now_cost,48
news_added,2019-03-02T19:31:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,0
value_form,0.3
value_season,15.0
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,4.1
form,1.4
transfers_out,576696
transfers_in,680093
transfers_out_event,4840
transfers_in_event,158
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,72
event_points,-2
points_per_game,2.5
ep_this,0.9
ep_next,0.0
special,False
minutes,2072
goals_scored,2
assists,4
clean_sheets,5
goals_conceded,30
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,6
red_cards,1
saves,0
bonus,6
bps,374
influence,402.8
creativity,266.1
threat,178.0
ict_index,84.9
ea_index,0
element_type,3
team,1
