id,500
photo,159533.jpg
web_name,Traoré
team_code,39
status,a
code,159533
first_name,Adama
second_name,Traoré
squad_number,37
news,
now_cost,51
news_added,2018-12-29T20:31:18Z
chance_of_playing_this_round,75
chance_of_playing_next_round,75
value_form,0.4
value_season,7.3
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.3
form,1.8
transfers_out,67578
transfers_in,42154
transfers_out_event,28
transfers_in_event,22
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,37
event_points,3
points_per_game,1.6
ep_this,1.7
ep_next,1.0
special,False
minutes,758
goals_scored,1
assists,1
clean_sheets,1
goals_conceded,9
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,2
bps,149
influence,196.0
creativity,235.8
threat,252.0
ict_index,68.3
ea_index,0
element_type,3
team,20
