id,556
photo,213482.jpg
web_name,Valery
team_code,20
status,a
code,213482
first_name,Yan
second_name,Valery
squad_number,43
news,
now_cost,40
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.8
value_season,7.5
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.6
form,3.4
transfers_out,22671
transfers_in,54363
transfers_out_event,126
transfers_in_event,1515
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,30
event_points,7
points_per_game,2.0
ep_this,2.4
ep_next,1.9
special,False
minutes,1074
goals_scored,1
assists,0
clean_sheets,2
goals_conceded,17
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,1
saves,0
bonus,0
bps,159
influence,202.8
creativity,60.2
threat,93.0
ict_index,35.2
ea_index,0
element_type,2
team,16
