id,234
photo,101668.jpg
web_name,Vardy
team_code,13
status,a
code,101668
first_name,Jamie
second_name,Vardy
squad_number,9
news,
now_cost,89
news_added,2018-12-22T14:01:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.3
value_season,11.0
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,5.7
form,2.6
transfers_out,905182
transfers_in,841317
transfers_out_event,758
transfers_in_event,5395
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,98
event_points,0
points_per_game,4.1
ep_this,2.6
ep_next,3.1
special,False
minutes,1835
goals_scored,9
assists,3
clean_sheets,8
goals_conceded,28
own_goals,0
penalties_saved,0
penalties_missed,1
yellow_cards,3
red_cards,1
saves,0
bonus,17
bps,313
influence,448.6
creativity,256.5
threat,757.0
ict_index,146.0
ea_index,0
element_type,4
team,11
