id,463
photo,93100.jpg
web_name,Vestergaard
team_code,20
status,a
code,93100
first_name,Jannik
second_name,Vestergaard
squad_number,4
news,
now_cost,46
news_added,2018-08-18T18:01:12Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.5
value_season,9.8
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.3
form,2.4
transfers_out,31510
transfers_in,11744
transfers_out_event,30
transfers_in_event,21
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,45
event_points,1
points_per_game,2.3
ep_this,1.4
ep_next,0.9
special,False
minutes,1765
goals_scored,0
assists,0
clean_sheets,4
goals_conceded,27
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,0
bps,351
influence,475.4
creativity,75.2
threat,88.0
ict_index,64.0
ea_index,0
element_type,2
team,16
