id,513
photo,108093.jpg
web_name,Vietto
team_code,54
status,a
code,108093
first_name,Luciano
second_name,Vietto
squad_number,19
news,
now_cost,53
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.2
value_season,8.5
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.5
form,0.8
transfers_out,94961
transfers_in,83576
transfers_out_event,67
transfers_in_event,41
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,45
event_points,0
points_per_game,2.5
ep_this,-0.2
ep_next,0.3
special,False
minutes,962
goals_scored,1
assists,4
clean_sheets,1
goals_conceded,20
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,4
bps,164
influence,202.2
creativity,294.3
threat,340.0
ict_index,83.3
ea_index,0
element_type,4
team,9
