id,352
photo,39215.jpg
web_name,Vorm
team_code,6
status,a
code,39215
first_name,Michel
second_name,Vorm
squad_number,13
news,
now_cost,47
news_added,2018-09-22T16:01:13Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,1.1
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.0
transfers_out,10637
transfers_in,7376
transfers_out_event,6
transfers_in_event,5
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,5
event_points,0
points_per_game,2.5
ep_this,0.5
ep_next,1.5
special,False
minutes,180
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,4
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,9
bonus,1
bps,36
influence,66.8
creativity,0.0
threat,0.0
ict_index,6.6
ea_index,0
element_type,1
team,17
