id,495
photo,81183.jpg
web_name,Vydra
team_code,90
status,a
code,81183
first_name,Matej
second_name,Vydra
squad_number,27
news,
now_cost,56
news_added,2018-08-10T14:31:13Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,2.5
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.2
transfers_out,9492
transfers_in,3635
transfers_out_event,2
transfers_in_event,6
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,14
event_points,0
points_per_game,1.6
ep_this,0.7
ep_next,-0.8
special,False
minutes,269
goals_scored,1
assists,0
clean_sheets,0
goals_conceded,6
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,42
influence,47.2
creativity,22.8
threat,91.0
ict_index,15.8
ea_index,0
element_type,4
team,4
