id,164
photo,20467.jpg
web_name,Walcott
team_code,11
status,a
code,20467
first_name,Theo
second_name,Walcott
squad_number,11
news,
now_cost,60
news_added,2018-09-16T14:01:13Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,13.5
cost_change_start,-5
cost_change_event,0
cost_change_start_fall,5
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,2.7
form,1.4
transfers_out,1148009
transfers_in,1125975
transfers_out_event,168
transfers_in_event,86
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,81
event_points,0
points_per_game,3.0
ep_this,0.4
ep_next,1.4
special,False
minutes,1843
goals_scored,3
assists,3
clean_sheets,6
goals_conceded,31
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,4
bps,225
influence,319.0
creativity,321.9
threat,516.0
ict_index,115.2
ea_index,0
element_type,3
team,8
