id,358
photo,158534.jpg
web_name,Walker-Peters
team_code,6
status,a
code,158534
first_name,Kyle
second_name,Walker-Peters
squad_number,16
news,
now_cost,42
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.0
value_season,4.8
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.7
form,0.2
transfers_out,102496
transfers_in,108998
transfers_out_event,229
transfers_in_event,35
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,20
event_points,0
points_per_game,6.7
ep_this,0.7
ep_next,1.7
special,False
minutes,104
goals_scored,0
assists,3
clean_sheets,1
goals_conceded,0
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,3
bps,60
influence,63.2
creativity,35.6
threat,9.0
ict_index,10.7
ea_index,0
element_type,2
team,17
