id,366
photo,54756.jpg
web_name,Wanyama
team_code,6
status,a
code,54756
first_name,Victor
second_name,Wanyama
squad_number,12
news,
now_cost,49
news_added,2018-12-04T15:01:17Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,1.6
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.4
transfers_out,3469
transfers_in,1874
transfers_out_event,4
transfers_in_event,20
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,8
event_points,1
points_per_game,1.3
ep_this,0.9
ep_next,1.9
special,False
minutes,215
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,1
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,34
influence,24.2
creativity,8.6
threat,21.0
ict_index,5.4
ea_index,0
element_type,3
team,17
