id,338
photo,101178.jpg
web_name,Ward-Prowse
team_code,20
status,a
code,101178
first_name,James
second_name,Ward-Prowse
squad_number,16
news,
now_cost,51
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.9
value_season,12.4
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,4
selected_by_percent,2.0
form,4.4
transfers_out,77149
transfers_in,170188
transfers_out_event,375
transfers_in_event,2405
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,63
event_points,8
points_per_game,3.7
ep_this,3.4
ep_next,2.9
special,False
minutes,1197
goals_scored,5
assists,0
clean_sheets,2
goals_conceded,26
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,10
bps,266
influence,405.2
creativity,495.4
threat,270.0
ict_index,117.0
ea_index,0
element_type,3
team,16
