id,441
photo,55494.jpg
web_name,Ward
team_code,31
status,a
code,55494
first_name,Joel
second_name,Ward
squad_number,2
news,
now_cost,43
news_added,2018-11-10T16:31:13Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,2.6
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,1.8
transfers_out,18526
transfers_in,4939
transfers_out_event,88
transfers_in_event,21
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,11
event_points,0
points_per_game,2.8
ep_this,1.3
ep_next,1.8
special,False
minutes,281
goals_scored,1
assists,0
clean_sheets,0
goals_conceded,7
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,40
influence,98.0
creativity,15.4
threat,41.0
ict_index,15.5
ea_index,0
element_type,2
team,7
