id,252
photo,41733.jpg
web_name,Wijnaldum
team_code,14
status,a
code,41733
first_name,Georginio
second_name,Wijnaldum
squad_number,5
news,
now_cost,55
news_added,2019-02-04T22:01:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.6
value_season,14.2
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,1.1
form,3.2
transfers_out,142965
transfers_in,146647
transfers_out_event,212
transfers_in_event,437
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,78
event_points,0
points_per_game,3.1
ep_this,4.2
ep_next,4.2
special,False
minutes,2018
goals_scored,2
assists,1
clean_sheets,14
goals_conceded,10
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,6
bps,327
influence,309.4
creativity,275.1
threat,278.0
ict_index,86.4
ea_index,0
element_type,3
team,12
