id,204
photo,80755.jpg
web_name,Williams
team_code,38
status,i
code,80755
first_name,Danny
second_name,Williams
squad_number,19
news,Lack of match fitness - Unknown return date
now_cost,45
news_added,2018-12-14T13:31:15Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,0.9
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.0
transfers_out,1485
transfers_in,1138
transfers_out_event,0
transfers_in_event,3
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,4
event_points,0
points_per_game,1.3
ep_this,0.0
ep_next,0.0
special,False
minutes,83
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,0
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,6
influence,5.0
creativity,1.1
threat,1.0
ict_index,0.6
ea_index,0
element_type,3
team,10
