id,447
photo,54102.jpg
web_name,Wilshere
team_code,21
status,i
code,54102
first_name,Jack
second_name,Wilshere
squad_number,19
news,Ankle injury - Unknown return date
now_cost,48
news_added,2018-12-04T22:31:16Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,2.3
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.9
form,0.0
transfers_out,235753
transfers_in,25550
transfers_out_event,13
transfers_in_event,1
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,11
event_points,0
points_per_game,2.2
ep_this,0.0
ep_next,0.0
special,False
minutes,338
goals_scored,0
assists,1
clean_sheets,1
goals_conceded,9
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,0
bps,67
influence,64.4
creativity,44.8
threat,11.0
ict_index,12.0
ea_index,0
element_type,3
team,19
